Test:::Loss: 0.2330, Dev Accuracy: 0.9329, Dev F1 Score: 0.9176
Eval:::Epoch [200/500], Loss: 0.1154, Dev Accuracy: 0.9242, Dev F1 Score: 0.9172
Eval:::Epoch [201/500], Loss: 0.1151, Dev Accuracy: 0.9271, Dev F1 Score: 0.9196
Eval:::Epoch [202/500], Loss: 0.1149, Dev Accuracy: 0.9271, Dev F1 Score: 0.9201
Eval:::Epoch [203/500], Loss: 0.1147, Dev Accuracy: 0.9242, Dev F1 Score: 0.9161
Eval:::Epoch [204/500], Loss: 0.1146, Dev Accuracy: 0.9300, Dev F1 Score: 0.9231
Eval:::Epoch [205/500], Loss: 0.1143, Dev Accuracy: 0.9300, Dev F1 Score: 0.9231
Eval:::Epoch [206/500], Loss: 0.1141, Dev Accuracy: 0.9271, Dev F1 Score: 0.9196
Eval:::Epoch [207/500], Loss: 0.1139, Dev Accuracy: 0.9271, Dev F1 Score: 0.9201
Eval:::Epoch [208/500], Loss: 0.1136, Dev Accuracy: 0.9300, Dev F1 Score: 0.9231
Eval:::Epoch [209/500], Loss: 0.1135, Dev Accuracy: 0.9271, Dev F1 Score: 0.9201
Eval:::Epoch [210/500], Loss: 0.1133, Dev Accuracy: 0.9213, Dev F1 Score: 0.9143
Eval:::Epoch [211/500], Loss: 0.1135, Dev Accuracy: 0.9271, Dev F1 Score: 0.9196
Eval:::Epoch [212/500], Loss: 0.1134, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [213/500], Loss: 0.1132, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [214/500], Loss: 0.1131, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [215/500], Loss: 0.1130, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [216/500], Loss: 0.1128, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [217/500], Loss: 0.1125, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [218/500], Loss: 0.1124, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [219/500], Loss: 0.1120, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [220/500], Loss: 0.1115, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [221/500], Loss: 0.1114, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [222/500], Loss: 0.1111, Dev Accuracy: 0.9184, Dev F1 Score: 0.9108
Eval:::Epoch [223/500], Loss: 0.1109, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [224/500], Loss: 0.1107, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [225/500], Loss: 0.1104, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [226/500], Loss: 0.1102, Dev Accuracy: 0.9242, Dev F1 Score: 0.9167
Eval:::Epoch [227/500], Loss: 0.1100, Dev Accuracy: 0.9242, Dev F1 Score: 0.9167
Eval:::Epoch [228/500], Loss: 0.1099, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [229/500], Loss: 0.1097, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [230/500], Loss: 0.1096, Dev Accuracy: 0.9242, Dev F1 Score: 0.9167
Eval:::Epoch [231/500], Loss: 0.1092, Dev Accuracy: 0.9242, Dev F1 Score: 0.9167
Eval:::Epoch [232/500], Loss: 0.1089, Dev Accuracy: 0.9242, Dev F1 Score: 0.9167
Eval:::Epoch [233/500], Loss: 0.1089, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [234/500], Loss: 0.1088, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
Eval:::Epoch [235/500], Loss: 0.1086, Dev Accuracy: 0.9242, Dev F1 Score: 0.9167
Eval:::Epoch [236/500], Loss: 0.1085, Dev Accuracy: 0.9242, Dev F1 Score: 0.9167
Eval:::Epoch [237/500], Loss: 0.1084, Dev Accuracy: 0.9213, Dev F1 Score: 0.9137
